smiles,qed,sas,gsk3b_score,jnk3_score,logP,weight
CN(C)CCCn1cc(C2=C(c3cccc4ccccc34)C(=O)NC2=O)c2ccccc21,0.470295516,2.435693515,-9.4,-8.6,4.3134,423.194677
O=C1NC(=O)C(c2ccccc2)=C1Nc1cc(Cl)c(O)c(Cl)c1,0.587526714,2.35591934,-7.9,-8.1,3.1786,348.0068475
O=C1Cc2c([nH]c3cc(C(F)(F)F)ccc23)-c2ccccc2N1,0.636185935,2.391366992,-9.3,-9.5,4.3483,316.0823476
COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4ccccc4)cc23)CC1,0.647153718,2.235827093,-8.8,-8.5,3.3181,392.2212261
O=C1NC(=O)C(c2ccccc2)=C1Nc1cc(Cl)c(O)c(Cl)c1,0.587526714,2.35591934,-7.8,-8.2,3.1786,348.0068475
O=C(Cn1c(=O)ccc2ccccc21)Nc1scc(Br)c1-c1ncn[nH]1,0.520068719,2.743682413,-8.8,-8.3,3.2493,428.9895077
O=C1NC(=O)C(c2ccccc2)=C1Nc1cc(Cl)c(O)c(Cl)c1,0.587526714,2.35591934,-8.1,-8.2,3.1786,348.0068475
O=C(Nc1n[nH]c2ncc(-c3ccccc3)cc12)C1CC1,0.773390379,2.155164175,-8.5,-8,2.9734,278.1167611
COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4ccccc4)cc23)CC1,0.647153718,2.235827093,-8.8,-8.6,3.3181,392.2212261
Cn1cc(C2=C(c3cn(C)c4ccc(F)cc34)C(=O)NC2=O)c2ccccc21,0.54790134,2.523987681,-9.1,-8.6,3.3763,373.122655
COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4ccccc4)cc23)CC1,0.647153718,2.235827093,-8.8,-8.6,3.3181,392.2212261
NC(=O)c1ccccc1Nc1cc(Nc2ccc(-n3cnc(N4CCOCC4)n3)cc2)ncc1C(F)(F)F,0.330272022,2.832679368,-9.7,-9.7,4.1038,524.1896066
O=C1NC(=O)C(c2ccccc2)=C1Nc1cccc(C(=O)O)c1,0.749380567,2.107175749,-8.6,-8.4,1.8644,308.0797069
O=C1NC(=O)C(c2cn(CCCN3CCOCC3)c3ccccc23)=C1c1coc2ccc(-c3ccccc3)cc12,0.286921793,2.749610541,-10.3,-9.5,5.344,531.2158064
O=C1NCCc2ccc(-c3ccc(SCc4ccc(-c5ccccc5C(F)(F)F)cc4)o3)cc21,0.307641524,2.651705268,-10,-10.2,7.2106,479.1166845
COc1ccc(C(=O)Nc2cncc(C(=O)NCC3CCN(Cc4ccc(C(=O)O)o4)CC3)c2)cc1,0.414389128,2.397512599,-9,-9,3.2757,492.2008846
O=C(O)CN1CCC(CNC(=O)c2n[nH]c3ccc(-c4ccccc4)cc23)CC1,0.599180564,2.23850613,-9.2,-8.9,2.7563,392.1848406
Cc1ccc(NC(=O)c2cccc(-n3ncc4cc(Nc5ccccc5Cl)ccc43)c2)cn1,0.323690335,2.275217488,-9.8,-9.4,6.37822,453.1356379
O=C(O)c1ccc(CN2CCC(CNC(=O)c3n[nH]c4ccc(-c5ccccc5)cc34)CC2)o1,0.3834196,2.45819368,-9.8,-9.4,4.1631,458.1954053
FC(F)(F)c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,0.60200208,2.563619643,-9,-8.8,3.9487,356.099729
O=C(Nc1n[nH]c2ccc(-c3ccccn3)cc12)C1CC1,0.773390379,2.163185865,-8.5,-7.6,2.9734,278.1167611
CC(N)CN1CCC(CNC(=O)c2ccnc3[nH]c(-c4ccc(F)cc4)cc23)CC1,0.58367763,2.955157962,-8.8,-8.1,3.158,409.2277887
Cn1c(N2CCNC(c3ccc(F)cc3)C2)nc(-c2ccccc2)cc1=O,0.776466779,2.767418382,-9.7,-8.8,2.7373,364.1699395
CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccccc4)cc23)cc1,0.413558828,2.274450635,-9.1,-8.2,3.5739,434.1412616
CN(C)CCCn1cc(C2=C(c3cn(C)c4ccc(C(F)(F)F)cc34)C(=O)NC2=O)c2ccccc21,0.396575544,2.790334033,-9,-8,4.6707,494.1929607
CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccccc4)cc23)cc1,0.379427639,2.351865589,-9.2,-8.3,3.964,448.1569116
c1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCCO5)o3)cc2)cc1,0.412852211,2.143259086,-9.4,-9.1,5.4671,402.1038134
Cc1ccc2c(-c3ccnc(Nc4ccc(Cl)c(Cl)c4)n3)cnn2n1,0.572506864,2.559103159,-9.1,-8.1,4.54512,370.0500497
O=C(Nc1n[nH]c2ccc(-c3ccccc3)cc12)C1CC1,0.768445346,1.963749043,-8.7,-8.2,3.5784,277.1215121
Nc1ncccc1C(=O)Nc1ccccc1N1CCC(N)CC1,0.803387538,2.101992221,-7.6,-7.6,1.8436,311.1746103
O=C1NC(=O)C(c2ccccc2)=C1Nc1cc(Cl)c(O)c(Cl)c1,0.587526714,2.35591934,-7.9,-8.2,3.1786,348.0068475
Cc1nc(C)n(-c2ccc(Nc3nccc(-c4cccc(Nc5ccccc5Cl)c4)n3)cc2)n1,0.297153715,2.394830043,-9.8,-10.1,6.48174,467.1625214
CSc1ccc(NC2=C(c3ccccc3)C(=O)NC2=O)cc1,0.673281968,2.198439841,-7.9,-7.7,2.8881,310.0775987
N#Cc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCCO5)o3)cc2)cc1,0.397746084,2.328630459,-9.3,-9.5,5.33878,427.0990624
O=C(Nc1n[nH]c2ccc(-c3ccccc3)cc12)C1CC1,0.768445346,1.963749043,-8.8,-8.4,3.5784,277.1215121
O=C(O)CN1CCC(CNC(=O)c2n[nH]c3ccc(-c4cccc(F)c4)cc23)CC1,0.580495614,2.347060974,-9.2,-9,2.8954,410.1754188
COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4ccccc4)cc23)CC1,0.647153718,2.235827093,-8.8,-8.7,3.3181,392.2212261
N#Cc1ccc(-c2ccc(CSc3ccc(-c4ccc5c(c4)C(=O)NCC5)o3)cc2)cc1,0.386069634,2.582583019,-10.2,-9.6,6.06348,436.1245489
Cc1nc(-c2ccccc2)c(-c2ccnc(NC(=O)C3CC3)c2)[nH]1,0.768483483,2.248935145,-8.6,-8.3,3.79562,318.1480612
