smiles,qed,sas,gsk3b_score,jnk3_score,logP,weight
O=c1[nH]cnc2[nH]c3cc(Nc4cncc(-c5cnc6[nH]ccc6c5)c4)ccc3c12,0.361505295,2.928463488,-10.1,-9.7,4.0863,393.1338081
O=C(Nc1cncc(-c2cnc3[nH]ccc3c2)c1)Nc1cncc(-c2cnc3[nH]ccc3c2)c1,0.295970484,2.869879036,-11,-9.9,5.2072,446.1603572
c1ccc(Cc2c[nH]c3ncc(Nc4cc(-c5cccnc5)ccn4)cc23)cc1,0.432963805,2.387729643,-9,-9.1,5.3543,377.1640456
Cn1cc(C2=C(c3cccc(NC(=O)N[C@@H]4CCCC[C@@H]4N)c3)C(=O)NC2=O)c2ccccc21,0.45023945,3.31900624,-9.9,-8.5,3.1369,457.2113897
O=C(O)c1cc(N2C(=O)CN=C(c3ccccc3)c3cc(Br)ccc32)cc2c(=O)c3cc(F)ccc3[nH]c12,0.268002343,2.807860326,-10.2,-10,5.7968,569.0386463
O=C1CN=C(c2ccccc2)c2cc(OC(=O)c3cc(F)cc4c(=O)c5cc(F)ccc5[nH]c34)ccc2N1,0.203817316,2.805427851,-10.6,-11.5,4.9682,509.1187125
Cn1cc(C2=C(c3cccc(NC(=O)Nc4cccc(-c5ccc6ccccc6c5)n4)c3)C(=O)NC2=O)c2ccccc21,0.2054884,2.705744176,-11.7,-12.1,6.6047,563.1957397
Cn1cc(C2=C(c3cccc(NC(=O)C(=O)Nc4cccc(-c5ccc6ccccc6c5)n4)c3)C(=O)NC2=O)c2ccccc21,0.17961909,2.792967778,-12.1,-12.2,5.5379,591.1906543
O=C(Nc1cncc(-c2cnc3[nH]ccc3c2)c1)c1cc(F)cc2c(=O)c3cc(F)ccc3[nH]c12,0.313270672,2.785188701,-11.7,-10.3,5.1501,467.1193812
O=C(O)c1cc(Nc2cncc(-c3cnc4[nH]ccc4c3)c2)cc2c(=O)c3cc(F)ccc3[nH]c12,0.265404004,2.845278267,-11.6,-10.6,5.2005,465.1237176
C#Cc1ccc2c(Nc3cc4cc[nH]c4cn3)n[nH]c2c1,0.491267249,2.863177367,-8.7,-7.8,3.1641,273.1014454
C[C@@H](Nc1ncc(Cl)c(-c2c[nH]c3ccccc23)n1)c1cccc2cnccc12,0.388648597,2.940492879,-9.8,-9.4,5.9996,399.1250733
O=C1C(=O)N(c2cccc(-c3cn[nH]c3)c2)c2ccc(-c3ccccc3)cc21,0.539495673,2.316255575,-9.7,-9.9,4.6047,365.1164267
O=C(Nc1nnc(-c2ccc3ccccc3c2)o1)C(=O)Nc1n[nH]c2nc(Br)ccc12,0.266523565,2.756271396,-9.9,-9.9,3.5008,477.0184993
CC#Cc1ccc2cc(Nc3cc(-c4ccc5ccccc5c4)[nH]n3)ccc2c1,0.354505816,2.46452163,-10,-9.3,6.4981,373.1578976
O=C(O)c1cccc(N(c2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c2nc3ccccc3c(=O)[nH]2)c1,0.272950837,2.886398095,-10.2,-10.2,5.6828,508.1050661
Brc1cc2c(Nc3cnc4[nH]ccc4n3)n[nH]c2cn1,0.491314988,3.111570554,-8.2,-7.3,2.7353,329.0024554
Cn1cc(C2=C(c3cccc(NC(=O)c4ccc5[nH]c6c(c5c4)CNCC6)c3)C(=O)NC2=O)c2ccccc21,0.270120556,2.844785498,-11.3,-10.6,4.1248,515.1957397
Cn1cc(C2=C(c3cccc(NC(=O)N4CCc5[nH]c6ccc(C(=O)O)cc6c5C4)c3)C(=O)NC2=O)c2ccccc21,0.240239155,2.879604658,-10.8,-10.7,4.5152,559.1855689
O=c1[nH]ncc2ccc(Nc3ccc4c(c3)Cc3ccccc3-4)cc12,0.510296137,2.276883669,-10,-9.7,4.2379,325.1215121
c1cc2[nH]ncc2cc1Nc1cc2cn[nH]c2cn1,0.510351093,2.618759875,-7.4,-7.6,2.5778,250.0966943
O=C(Nc1cncc(-c2cnc3[nH]ccc3c2)c1)Nc1n[nH]c2cc(Br)ccc12,0.314390718,2.72444646,-10.2,-9.3,4.9077,447.0443202
Nc1n[nH]c2cc(Nc3cncc(-c4cnc5[nH]ccc5c4)c3)ccc12,0.398748257,2.709439879,-9.2,-8.5,3.827,341.1388935
O=C(Nc1cncc(-c2cnc3[nH]ccc3c2)c1)C(=O)Nc1n[nH]c2cc(Br)ccc12,0.294363564,2.794959088,-9.9,-9.4,3.8409,475.0392348
O=C1c2ccccc2C(=O)c2cc(Nc3cc(F)c4cn[nH]c4c3)ccc21,0.495967266,2.40156679,-10.2,-10,4.221,357.0913548
O=C1c2ccccc2-c2nnc(Nc3cc(-c4cccnc4)ccn3)cc21,0.531067664,2.475534808,-10,-9.5,3.8886,351.11201
O=C1Cc2cc(Nc3cccc(-c4ccc5ccccc5c4)n3)c(F)cc2N1,0.516591271,2.373200415,-10.2,-10,5.2791,369.1277404
O=C(O)c1cc(Nc2ccc(F)c3cnccc23)cc2c(=O)c3cc(F)ccc3[nH]c12,0.361227478,2.589571011,-10.3,-9.7,4.9495,417.0924977
c1cc(Nc2cnc3[nH]ccc3c2)c2cc[nH]c2n1,0.51071229,2.635494288,-7.5,-7.5,3.1828,249.1014454
C1=C(c2ccnc3[nH]ccc23)CCN(c2ccc3[nH]c4c(c3c2)CNCC4)C1,0.500792865,3.007777325,-9.7,-9.5,3.9836,369.1953457
c1cc(Nc2cncc(-c3cnc4[nH]ccc4c3)c2)cc(-c2cn[nH]c2)c1,0.435466463,2.654649039,-9.6,-8.7,4.7586,352.1436445
Nc1cccc2cnc(Nc3cncc(-c4cnc5[nH]ccc5c4)c3)cc12,0.415818942,2.679402116,-10,-8.8,4.4989,352.1436445
Brc1cc(Nc2cc3cc[nH]c3cn2)cc2[nH]ncc12,0.521843395,2.777946304,-7.9,-7.9,3.9453,327.0119574
Clc1c(Nc2cc(-c3ncc[nH]3)ccn2)ccc2[nH]ncc12,0.538044848,2.771139689,-8.5,-8.2,3.745,310.073372
c1cc2cc(Nc3ccc4cn[nH]c4c3)ncc2[nH]1,0.51071229,2.532605219,-7.7,-7.7,3.1828,249.1014454
c1ccc2cc(-c3cc(Nc4cc(-c5ncc[nH]5)ccn4)n[nH]3)ccc2c1,0.435466463,2.561370406,-10.3,-9.3,4.7586,352.1436445
O=C1C(=O)N(c2cccc(-c3ccc4c(c3)CCN4)c2)c2ccc(-c3ccccc3)cc21,0.426358195,2.360673363,-10.5,-10.7,5.8496,416.1524779
c1ccc2cc(Nc3cnc4[nH]ccc4c3)ncc2c1,0.575194062,2.333463488,-8.1,-8.1,3.8547,260.1061964
C[C@H]1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)Nc4cccc(C5=C(c6cn(C)c7ccccc67)C(=O)NC5=O)c4)cn1c23,0.250945269,3.759786314,-12.2,-11.3,4.353,617.2074472
O=c1[nH]cnc2[nH]c3cc(NC(c4ccc(Cl)cc4)c4cccc5ccccc45)ccc3c12,0.290181914,2.997040865,-10.8,-10.2,6.4125,450.1247389
Brc1ccc2[nH]ncc2c1Nc1cncc(-c2cnc3[nH]ccc3c2)c1,0.394306792,2.864973545,-9.4,-8.5,5.0073,404.0385065
Clc1c(Nc2cncc(-c3cnc4[nH]ccc4c3)c2)ccc2[nH]ncc12,0.427162858,2.78677874,-9.5,-8.8,4.8982,360.0890221
O=S(=O)(c1ccc2c(c1)Cc1ccccc1-2)N1CCc2[nH]c3ccccc3c2C1,0.474788577,2.341103474,-11.1,-10.4,4.4861,400.1245489
c1ccc2cc(-c3cc(Nc4cc5cc[nH]c5cn4)n[nH]3)ccc2c1,0.443959012,2.491826621,-9.9,-8.9,4.8498,325.1327455
O=C1NCCc2cc(F)c(Nc3cc4c(nn3)-c3ccccc3C4)cc21,0.584825404,2.78453617,-9.9,-9.4,3.2164,346.1229893
