smiles,qed,sas,gsk3b_score,jnk3_score,weight,logP
CN(C)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,0.905339243,1.601636193,0.01,0.01,284.315,2.7031
COc1ccc(CNc2nc(Nc3cc(N4CCCCC4)ncc3Cl)ccn2)cc1,0.559354925,2.401137669,0.36,0.22,424.936,4.8796
COc1cccc(Nc2ncc(C(=O)Nc3ccccc3N3CCC(C(=O)O)CC3)nc2N)c1,0.415449608,2.44423248,0.31,0.14,462.51,3.3643
CNC(=O)c1cc2cc(Oc3ccc(C(=O)Nc4ccccc4)cc3)ccc2[nH]1,0.470455106,1.992573713,0.04,0.07,385.423,4.5721
O=C1NC(=O)c2c1c1ccccc1[nH]c1cc([N+](=O)[O-])ccc21,0.413804826,2.631250542,0.3,0.08,307.265,2.00258
CCCCc1nc2ccc(NC(=O)C=Cc3ccccc3)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,0.184143963,2.379469751,0.13,0.04,529.64,7.4443
O=C(NCCCCCCCCCCO)c1ccc2nccc(-c3ccc4ccccc4c3)c2n1,0.246103283,2.361896169,0.31,0.3,455.602,6.2929
CCNC(=O)c1ccc(-c2ccc(C(=O)Nc3ccccc3N)cc2)nn1,0.605356686,2.027150537,0.17,0.01,361.405,2.7278
COc1ccc(-c2nc(-c3ccc(C)cc3)n(-c3ccccc3)n2)cc1OC,0.499206234,1.942241733,0.03,0,371.44,4.92692
CN(C)C(=O)c1ccc(Nc2nccc(Nc3cccnc3)n2)cc1,0.746017656,2.163399313,0.6,0.54,334.383,3.0606
COc1ccc(C(=O)Nc2ccc(Cl)c(C(=O)Nc3ccc4c(c3)-c3ccccc3C(=O)N4)c2)cc1,0.265135213,2.09809826,0.09,0.02,497.938,5.8479
O=c1[nH]c2ccccc2nc1N1CCCC(Nc2ccc3[nH]ncc3c2)C1,0.522663927,2.920546725,0.37,0.06,360.421,2.8803
Cc1ccc(-c2ccc(C(=O)Nc3ccccc3N)cc2)cc1,0.700008243,1.547139074,0.04,0.01,302.377,4.49652
CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,0.520406992,2.421257857,0.01,0.01,463.505,5.2134
