smiles,qed,sas,gsk3b_score,jnk3_score,weight,logP
COc1ccccc1CNc1ccc(-c2cccc(-n3cnnn3)c2)cn1,0.5694940171419297,2.226181154145713,0.08,0.03,358.40500000000003,3.3450000000000006
CC(=O)NC(C)C#Cc1ccc(OC)c(OC)c1,0.8248979534703349,2.749409234744869,0.02,0.03,247.29399999999998,1.5799
CCc1ncc(C2(C3CCCCC3)CC(=O)C=CC2)n1Cc1ccc(-c2cccc(C)c2)cc1,0.3960564087011978,3.400892554950767,0.1,0.05,452.6420000000001,7.2064200000000085
Nc1ncnc2c1c(-c1ccc(F)cc1)nn2C1CCNCC1,0.7574385684502133,2.4622972930656832,0.7,0.21,312.3520000000001,2.1391
O=C1Nc2ccccc2C12CC2c1cc(Cl)ccc1F,0.8477594238032121,3.550325218999559,0.1,0.01,287.72099999999995,3.8565000000000014
CCOC(=O)C1=C(C)NCNc2ccc3c(c21)C(C)c1ccccc1-3,0.8124989938414953,3.441670883477366,0.14,0.01,334.41900000000004,4.085500000000002
Cc1cc(C)c2nc(C(c3ccc(Cl)cc3)N3CCN(CCN(C)C)CC3)[nH]c2c1,0.6448032829003277,2.9662961986801744,0.11,0.02,426.0080000000003,4.101740000000004
Cc1cccc(Cl)c1Nc1nc2ccccc2n2cncc12,0.5887717231609348,2.301633453340603,0.13,0.02,308.77200000000005,4.587920000000003
CC1=CC(N)=Nc2ccccc2C1=O,0.6776633793512056,2.102808396343025,0.09,0.0,186.214,1.4856199999999997
Cc1occc1C(=O)N1CCC(C)(C)OC(CSSc2cccnc2)C1,0.701659466778907,3.622031936682396,0.02,0.01,392.54600000000005,4.433220000000004
CCOC(=O)c1cc(C#N)c2ncnc(Nc3cccc(Cl)c3)c2c1,0.7117514828926084,2.347161095331572,0.32,0.13,352.781,4.075180000000002
CC(=O)N(C)Cc1ccc(CN2CCN(c3nccc(-c4ccc(Cl)cc4)n3)CC2)cc1,0.5667776847513617,2.2069926788507868,0.09,0.02,449.98600000000016,4.097500000000004
CCCCOc1ccc(F)c(-c2ccc(S(=O)(=O)NC(C(=O)O)C(C)C)cc2)c1,0.5623947050757582,2.541766434504847,0.06,0.04,423.5060000000001,4.059100000000003
CN(c1ccc(Cc2ccccc2)cc1)c1cc2nccc(O)c2c(-c2ccc(-c3ccc(F)cc3)cc2)c1C#N,0.2318613158333599,2.712684525845756,0.24,0.09,535.6220000000002,8.643880000000003
CCN(C)CS(=O)(=O)c1ccc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N3)cc1,0.5402744291590741,3.465880477562901,0.13,0.03,459.0150000000001,4.982200000000004
O=C(NC1CCN(C2CCCCCC2)C1)c1ccc2[nH]nc(-c3ccc(F)c(F)c3)c2c1,0.5615831887578207,2.8788742425956926,0.33,0.16,438.52200000000005,5.035000000000004
CC(=O)N1CCN(c2nccc(C(=O)O)c2C2CC2)CC1,0.9083002632251852,2.279262188071426,0.09,0.0,289.33500000000015,1.3256999999999997
COc1cc(OC)cc(N(CC2CC2)c2ccc3ncc(-c4cnn(C(C)C)c4)nc3c2)c1,0.3511249480353083,2.816243336723815,0.24,0.17,443.5510000000001,5.639500000000005
CCCC1(CCCC)C(=C2SC(=N)NC2=O)c2ccc(C(F)(F)F)cc2S1(=O)=O,0.6403872287395401,4.233160300132893,0.21,0.05,446.51600000000013,4.7306700000000035
COc1ccc(C(=O)NNc2ccc(F)cc2)cc1,0.8306716533268489,1.579718174293749,0.01,0.0,260.268,2.5912000000000006
CC(C)(C)Oc1ccc(-c2cccc(-n3nnc(C(=O)NO)c3C)c2)cc1,0.5444928035946724,2.353980115684177,0.07,0.02,366.42100000000005,3.5390200000000007
c1ccc2c(c1)N1CCCNCC1C2,0.6619903332255809,2.676661678589518,0.05,0.0,188.27399999999997,1.411
COc1cc(CNCc2ccc(O)cc2)c(Br)cc1N,0.7339156780850071,2.082549586600228,0.03,0.02,337.21700000000004,3.035300000000001
COc1ccc(-c2nc(C=CC(=O)NO)c3cnn(Cc4ccc(F)cc4F)c3n2)c(OC)c1OC,0.2160390844120633,2.914512783492244,0.1,0.05,497.4580000000003,3.364200000000002
COc1ccc2c(c1)sc1c(N3CCOCC3)ncnc12,0.728098648224391,2.346211114228696,0.04,0.01,301.3709999999999,2.689700000000001
c1cncc(CNC2CC2c2cccc(-c3cn[nH]c3)c2)c1,0.7588495623871421,3.1179171224629325,0.3,0.07,290.37000000000006,3.117400000000001
CC(c1ccc(F)cc1)N1CCC(N=C(O)c2ccc3[nH]nc(-c4ccnc(C(F)(F)F)c4)c3c2)CC1,0.1869738207200165,3.4196033122423533,0.24,0.12,511.5230000000002,6.313000000000004
CC(C(=O)NS(=O)(=O)c1nc2ccccc2s1)N1CCC(c2ccc(F)cc2)C1,0.6688803572982185,3.182733938375092,0.05,0.0,433.5300000000002,3.1183000000000023
Cn1ccc2ccc(-c3ccc4cncc(NCc5cccc(Cl)c5)c4n3)cc21,0.4001454292713328,2.4975633830596866,0.21,0.12,398.8970000000001,6.054000000000004
NCC1CCN(C(=O)Nc2cccc(Cl)c2)C(=O)CC1,0.8797975867403619,2.642027657519588,0.03,0.03,295.7700000000001,2.4593000000000007
CSc1cc2c(cc1Cl)C(c1ccc3ccccc3c1)=NC(=O)N2,0.5092238141199574,2.431882971214097,0.29,0.27,352.84600000000006,5.1186000000000025
Cc1ccc(S(=O)(=O)N(CC(C)C)c2ccccc2Oc2ccccc2C)cc1,0.484530006098617,2.101117912974217,0.0,0.0,409.55100000000016,5.947040000000006
CN1CCCC(c2nc3cc(O)ccc3[nH]2)CC1,0.8111586621674765,2.728933881526657,0.1,0.01,245.326,2.4678000000000004
CC(C)c1ccc(C(=O)Nc2ccncc2C(=O)Nc2ccc(Cl)cn2)cc1,0.6530986143534199,2.093559832880775,0.12,0.05,394.862,4.758000000000004
CC(C)CC(CC1CCCCC1)N1CCN(c2ccc(NC(=O)NC(Cc3ccccc3)C(=O)O)cc2)CC1,0.3287326583909579,3.164310540782038,0.01,0.01,534.745,6.011100000000005
COc1cc(N2CCN(C)CC2)ccc1Nc1ccc(Cl)c(Cl)c1,0.8625774158271137,1.963231446523956,0.05,0.16,366.29200000000014,4.497400000000003
CCN(Cc1cc(-c2ccc(F)cn2)no1)C(=O)c1ccccc1C,0.7083776437484254,2.31855806174544,0.02,0.05,339.37000000000006,3.846420000000003
COC(=O)C(C)(C)Cn1c(SC)nc2sc(-c3ccc(O)cc3)cc2c1=O,0.396209712739717,2.7103394753515357,0.05,0.04,404.51300000000015,3.751700000000003
COc1ccc(C2=NC(c3nnc(C(F)(F)F)n3C)C(C(O)=NC3CC3(C)C)CN2c2ccc(CCO)cc2)cc1Cl,0.2629456484378083,4.4061213855965615,0.12,0.02,605.0610000000004,5.410000000000006
COc1ccc2c(c1)CC(CCCN(C(=O)C1CC1c1ccccc1)C(=O)C(=O)Nc1cccc(OC(F)(F)F)c1)C2,0.3194891270392087,3.817601508133871,0.01,0.0,580.6030000000002,5.886400000000006
Cc1ccc(C2=NN(Cc3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,0.3968382500118941,2.57859589941733,0.02,0.09,376.50300000000016,6.499520000000006
COc1ccc(NCc2ccc(NC(=O)c3ccccc3)cc2C(=O)NO)cc1,0.3637055417569709,1.9712347083608923,0.01,0.0,391.4270000000001,3.678600000000001
CC1(C)CCCCC1n1c(=O)nc(Nc2ccc(F)c(C(=O)Nc3nc4ccccc4s3)c2)n(CCCO)c1=O,0.2824042328195882,3.43963432041083,0.11,0.07,566.6590000000003,4.673400000000004
C=C(COc1ccc(F)cc1)c1cccc(OC)c1,0.8087056042417333,1.864920738396313,0.09,0.01,258.292,3.9265000000000034
CCN1CCN(c2cc(Nc3ncc(C(F)(F)F)s3)cc(-c3nccs3)n2)CC1,0.6275305635555378,2.945426738017982,0.21,0.02,440.52000000000015,4.565900000000004
CCC(CC)(NC(=O)c1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1)c1cccs1,0.2697134838974224,3.479666002486968,0.05,0.06,504.6770000000002,7.508500000000007
CCCCC(O)C(CC)NC(=O)C(CC(=O)N1CCN(C(=O)N(CC)CC(=O)O)CC1)NC(=O)c1ccc(N(C)C)cc1,0.2332564444762612,3.713749787817583,0.0,0.0,604.7490000000003,1.3577000000000048
Nc1ccc(CN2CCC(O)CC2)cc1-c1c(Br)cc(Br)cc1Cl,0.6108994813004069,2.4868585215560355,0.05,0.03,474.624,5.070900000000004
CCCCCCCC(=O)Oc1ccc2c(c1)C1(C)CN=C(O)C21,0.464018186956906,3.590394528029461,0.04,0.0,315.41300000000007,4.277500000000003
CC(C)(C)c1cc(NC(=O)Nc2ccc(C#N)cc2F)n(-c2cccc(Br)c2)n1,0.5394112443886976,2.41060953690584,0.2,0.04,456.3190000000001,5.587080000000003
O=C(CCc1ccccc1)NC1CCS(=O)(=O)c2ccccc2OC1c1ccccc1,0.6549020506365614,3.180390056291161,0.02,0.0,435.54500000000013,4.101700000000003
CC(CCc1ccc(C(C)(C)C)cc1)N1CCC(Oc2cc(Cl)cc(C(F)(F)F)c2)CC1=O,0.4421932028400445,3.364118167317652,0.02,0.01,481.9860000000001,7.047400000000006
CC(=O)NC(C)C#Cc1cnc(Oc2ccc(Oc3ccnc(C(C)C)c3)cc2)s1,0.5592314766565403,3.405106877413205,0.14,0.11,421.5220000000001,5.122200000000005
Clc1c(Cl)c(F)ccc1Oc1cccc2ncccc12,0.5853568628234883,2.060199196201154,0.02,0.05,308.13900000000007,5.4730000000000025
CCC(NC)C(=O)NC1CCCCC1CNC(=O)c1cccc2[nH]ccc12,0.6041911040897109,3.3557558799005154,0.04,0.03,370.497,2.5706999999999995
CC(C)(C)c1ccccc1Oc1ccc(S(=O)(=O)c2cccnn2)cc1,0.6825980731976021,2.333883019495273,0.06,0.01,368.458,4.399200000000004
CSc1ccc(OC2CC3CCC(C2)N3S(=O)(=O)c2ncccc2Cl)cc1,0.6722917031995287,4.121409596286476,0.07,0.03,424.975,4.220000000000003
CCOC(=O)c1cnc(N2CCN(C(=O)Nc3ccc(C#N)c(C(F)(F)F)c3)CC2)c(Cl)c1,0.6584502954119181,2.4896085855502754,0.04,0.07,481.8620000000002,4.156280000000002
CCCCS(=O)(=O)Nc1ccc(C(O)c2cnc3ccc(-c4cnco4)cn23)cc1,0.4453588588722665,3.2897808603659566,0.1,0.07,426.49800000000016,3.612800000000002
Cc1ccc(-c2csc(C(=O)N(C)c3ccc(C(=O)O)nc3)n2)cc1,0.7761294539786323,2.430544862550269,0.14,0.1,353.403,3.4883200000000016
