smiles,qed,sas,gsk3b_score,jnk3_score,logP,weight
c1nc(NC2CC2)cs1,0.676167124,2.833550492,-3.9,-4.2,1.7174,140.0408193
Oc1cnccc1I,0.671195135,2.740155883,-4.1,-4.3,1.3918,220.9337617
Oc1ccncc1I,0.671195135,2.723093645,-4.2,-4.4,1.3918,220.9337617
OCc1nc(CF)cs1,0.679214299,2.987513546,-4.1,-4.5,1.1049,147.015413
OCc1csc(CF)n1,0.679214299,2.969325238,-4.2,-4.5,1.1049,147.015413
OCCCc1csnn1,0.670114564,2.966771794,-4.5,-4.7,0.463,144.0357339
OCCCc1cscn1,0.68616789,2.517778303,-4.1,-4.3,1.068,143.0404849
O=C(O)c1csc(I)n1,0.772347606,2.9443357,-4.5,,1.4459,254.8850973
NCc1nc(CF)cs1,0.677459834,2.948445238,-3.9,,1.0713,146.0313974
NCc1ccc(I)o1,0.729355522,2.813357981,-4.1,-4.1,1.3429,222.9494118
NCCCc1cscn1,0.684368796,2.560323273,-3.8,-4.2,1.0344,142.0564693
CSCc1csc(N)n1,0.713718522,2.672474776,-3.9,-3.9,1.5883,160.0128903
COc1cnn(C)c1I,0.6830703,2.966178007,-3.9,-4,1.0333,237.9603108
COc1ccc(I)cn1,0.690788546,2.225044623,-4.4,-4.5,1.6948,234.9494118
COc1cc(I)ccn1,0.690788546,2.424434776,-4.2,-4.3,1.6948,234.9494118
COCc1nc(O)cs1,0.674527734,2.821858161,-4.3,-4.5,0.9951,145.0197495
COCc1csc(N)c1,0.680151802,2.838307392,-4.1,-4.2,1.4767,143.0404849
CNc1ncc(I)cn1,0.740967083,2.781061853,-4.5,-4.4,1.1229,234.9606452
CNc1nc(OC)cs1,0.676699656,2.8343197,-4.1,-4.1,1.1934,144.0357339
CNc1nc(CF)cs1,0.685876614,2.8978957,-4.1,-4.2,1.6543,146.0313974
CNc1cscc1OC,0.681221598,2.771546776,-3.9,-3.9,1.7984,143.0404849
CNCCc1cscn1,0.678083258,2.583100197,-3.8,-4,0.905,142.0564693
CCc1nnsc1NC,0.67431764,2.970632315,-4.4,-4.4,1.1422,143.0517183
CCc1nc(NC)cs1,0.680084969,2.872784315,-4.2,-4.4,1.7472,142.0564693
CCc1nc(CO)cs1,0.674405535,2.399489546,-4.3,-4.4,1.1978,143.0404849
CCc1nc(CN)cs1,0.672732182,2.460617546,-4.2,-4.4,1.1642,142.0564693
CCc1csc(NC)n1,0.680084969,2.388418161,-4.4,-4.4,1.7472,142.0564693
CCc1csc(CO)n1,0.674405535,2.478036007,-4.4,-4.4,1.1978,143.0404849
CCc1csc(CN)n1,0.672732182,2.4389677,-4.3,-4.4,1.1642,142.0564693
CCSc1nc(O)cs1,0.673005318,2.951181238,-4.1,-4.3,1.9607,160.9969058
CCSc1nc(N)cs1,0.670838838,2.929010776,-4.2,-4.2,1.8373,160.0128903
CCSCc1cscn1,0.671392367,2.790366469,-3.8,-3.8,2.3962,159.0176413
CCOc1csc(N)n1,0.676323317,2.692092007,-4.1,-4.3,1.124,144.0357339
CCNc1snnc1C,0.677291592,2.9256157,-4.3,-4.3,1.27832,143.0517183
CCNCc1csnn1,0.674683169,2.794807889,-4.5,-4.2,0.6476,143.0517183
CCNCc1cscn1,0.686762139,2.467170611,-4,-4,1.2526,142.0564693
