smiles,qed,sas,weight,logP,gsk3b,jnk3
n1cccc(c1)Nc1cc(ccn1)C1=C(NC(=O)CC1)c1ccc(cc1)F,0.733867718,2.5687653,360.392,4.1376,-9,-8.3
C1(c2ccc(F)cc2)C(=O)NC(=O)C=1c1ccnc(NC2CCOCC2)c1,0.81135624,2.535260281,367.38,2.3788,-9,-9
c12c(OCO1)cc(C1=C(c3ccc(F)cc3)C(NC1=O)=O)c(Cl)c2,0.850042246,2.375005881,345.713,2.775,-8.5,-8.4
c1c2c(ccc1C1C(NC(C=1c1ccnc(NC3CCOCC3)c1)=O)=O)OCO2,0.766473339,2.708686279,393.399,1.9684,-9.8,-9.5
C1CC1C(Nc1cc(C2=C(OC(=C(c3ccccc3)C2=O)N)N)ccn1)=O,0.655354346,2.613210577,362.389,2.8817,-8.9,-8.3
O=C(N)c1ccc(C2=C(C(NC2=O)=O)c2cc(ccc2)F)cc1,0.841772581,2.137840254,310.284,1.4918,-8.5,-8.1
c1cc(Cl)ccc1C1=C(C(=O)NC1=O)c1ccnc(NC2CCOCC2)c1,0.793382813,2.530676849,383.835,2.8931,-8.7,-9.1
c1(N2CCOCC2)cc(-c2nc(ncc2)NC(c2ccccc2)=O)ccn1,0.769438186,2.162565,361.405,2.6275,-9.1,-8.3
c1cc2c(cc1)n(C(C)C)cc2C1C(NC(=O)C=1c1cc(ccc1F)F)=O,0.710738937,2.519537654,366.367,4.0676,-9.1,-8
C1(C(=C(C(N)=O)c2cccc(c2)C)Nc2cc(F)ccc2)CC1,0.824133253,2.509715494,310.372,3.85262,-7.7,-7.7
C1(C(=O)NC(C(N1)=O)=O)=Cc1ccc(OC)c(OC)c1,0.453478229,2.330325026,276.248,-0.1827,-7,-7.1
c1ccc(Cl)cc1C1=C(C(NC1=O)=O)c1c(cnc(NC2CCOCC2)c1)Cl,0.742939941,2.667007737,418.28,3.5465,-8.8,-9.1
c1(C2=C(c3ccnc(c3)NC3CCCC3)C(=O)NC2=O)cccc(OC)c1,0.798456144,2.426596376,363.417,3.0119,-9,-8.5
C1COCCN1C(Nc1cc(Nc2nccc(-c3ccc(C(=O)N)cc3)c2)ncc1)=O,0.585580959,2.362988319,418.457,2.8502,-9.8,-9.5
Clc1cc(-c2n[nH]c(=O)n2-c2cc3c(cc2)cccc3)c(N)nc1,0.588058234,2.390499025,337.77,3.0114,-9,-8.9
c1cc(ncc1-c1ccnc(NC(=O)C2CCC(CC2)OC)c1)Nc1ccc(Cl)cc1,0.519122653,2.362239088,436.943,5.6843,-9.4,-8.6
C1(NC(=O)C(c2cc(NC3CCCCC3)ncc2)=C1c1ccc(F)cc1)=O,0.813387824,2.407270341,365.408,3.5325,-9.4,-8.6
c1cc(Cl)cc(C2=C(c3cc(ncc3)NC3CCOCC3)C(NC2=O)=O)c1,0.793382813,2.579779216,383.835,2.8931,-9.1,-9
c1c(C#N)cccc1Nc1[nH]c(=O)c2c(n1)cc(c(Cl)c2)Cl,0.747308516,2.381480677,331.162,3.84518,-9,-8.2
c1c(cccc1C(N)C)C1C(NC(C=1c1cccc(C(=O)N)c1)=O)=O,0.73188104,2.784984407,335.363,1.3724,-9.3,-8.2
c1cc(cc(n1)Nc1cccc(c1)OC)C1=C(C(NC1=O)=O)C,0.846870153,2.341152317,309.325,2.2637,-8.2,-8
c1ccc(-c2ccnc(NC3CCC3)c2)c(Cl)c1C(=O)N,0.908363241,2.252115068,301.777,3.4653,-7.8,-8.2
c1nc(ncc1C1=C(C(NC1=O)=O)c1cc(ncc1)NC1CCOCC1)NC1CCOCC1,0.562631601,2.998837873,450.499,1.6206,-9.4,-9.1
c1cc(-c2nnc3n2N=C2C(NC(C)=NC2=Cc2ccccc2)=N3)ccc1F,0.58151769,2.959525931,371.379,3.6674,-10.2,-9.5
N(C1=C(c2cc(ncc2)NC2CCC2)C(NC1=O)=O)c1ccc(cc1)C,0.723905824,2.464846745,348.406,2.83402,-9,-8.4
c1cc(c(cc1F)-c1cc(ncc1)NC1C(=O)NC(C=1c1ccc(F)cc1)=O)F,0.66199614,2.513551976,395.34,3.6455,-9.4,-9.4
c1cnc(c(c1)C1C(=O)NC(=O)C=1c1ccnc(c1)NC1CCC1)NC1CCC1,0.65759315,2.717091984,389.459,2.9726,-8.8,-8.3
O=C1NC(C(c2cc(ccn2)NC2CCC2)=C1c1ccc(Cl)cc1)=O,0.827499606,2.475444736,353.809,3.2666,-8.5,-8.4
c1c(-c2nc3[nH]c(nc3cc2)NC(=O)C)cc(nc1)NC1CCCCC1,0.666303102,2.597895481,350.426,3.7229,-8.8,-8.5
c1(cc(-c2ccc3n(C)nc(C)c3c2)ncc1)NC(C1CC1)=O,0.807458607,2.220441548,306.369,3.29222,-8.6,-7.7
O=C1NC(C(=C1c1ccc(F)cc1)c1ccnc(NC2CCCC2)c1)=O,0.830425976,2.400630105,351.381,3.1424,-9.1,-8.7
c1(ccc2c(c1)cncc2OC)C1C(NC(C=1c1ccc(F)cc1)=O)=O,0.739157058,2.404458803,348.333,2.9497,-8.4,-8.9
