SMILES,6Y9S_SP,4WHZ_SP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
CC(Oc1cc(C(=O)N(C)C)ccc1Nc1nc(OC2CCC(C)(O)CC2)c2c(Cl)c[nH]c2n1)C(F)(F)F,-7.597275214,-7.933666633,555.985,5.4587,3.742990665,0.354753706,112.6,7,3,7,TRUE,CHEMBL319467,0.503586801,CHEMBL4546504,1,0.21,1
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCCC3=O)cc2)ncc1Cl,-9.452909072,-7.892653082,422.876,3.8429,2.308541296,0.555768587,113.24,6,3,6,TRUE,CHEMBL402932,0.652684564,CHEMBL3220502,1,0.337837838,1
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)c(F)c2)ncc1Cl,-8.356277677,-7.657584023,442.882,3.6918,2.376420558,0.53420597,105.4,7,3,6,FALSE,CHEMBL402932,0.638913344,CHEMBL3220499,1,0.283950617,1
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl,-8.960214591,-7.766591614,424.892,3.5527,2.267454935,0.555193669,105.4,7,3,6,FALSE,CHEMBL402932,0.637328899,CHEMBL3220493,1,0.352112676,1
COc1cc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)ccc1N1CCOCC1,-9.192848032,-7.775077688,454.918,3.5613,2.386941508,0.496086348,114.63,8,3,7,FALSE,13918,0.595094124,CHEMBL3220497,1,0.274725275,1
C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)cc2)c1,-6.86431978,-8.537298043,578.673,7.1305,2.71555312,0.127086689,100.94,7,3,9,FALSE,51376218,0.498567546,CHEMBL4077018,1,0.178294574,1
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2F)ncc1Cl,-7.898694126,-8.017898916,442.882,3.6918,2.400937584,0.53420597,105.4,7,3,6,TRUE,CHEMBL2391123,0.576948627,CHEMBL3220496,1,0.151162791,1
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)ccc1N1CCOCC1,-7.552206317,-7.753609283,438.919,3.86112,2.371054784,0.5361549,105.4,7,3,6,FALSE,CHEMBL402541,0.628140704,CHEMBL3220498,1,0.264367816,1
COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1,-8.821209422,-7.601799762,369.812,3.7247,2.051694354,0.611554127,102.16,6,3,6,TRUE,13896,0.678787879,CHEMBL3220494,1,0.210526316,1
CN(C)CC=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3nccc(-c4c(-c5ccccc5)nn5ccccc45)n3)cc2)c1,-7.204224223,-8.687015827,608.706,6.5105,2.815382501,0.151873483,116.55,8,3,10,FALSE,346043,0.457924034,CHEMBL3393608,1,0.14953271,1
