smiles,qed,sas,ror_gamma_score,dhodh_score
CCn1c(CO)nn(-c2cc3c(C(C)=C)cn(-c4c(F)ccc(Oc5ccc(F)cc5)c4Cl)c(=O)c3cc2F)c1=O,0.263989364,3.279704574,0.360192737,0.943129163
CCn1c(CO)nn(-c2cc3c(C(C)=C)cn(-c4c(F)ccc(-c5cccc(Cl)c5)c4Cl)c(=O)c3cc2F)c1=O,0.260726012,3.295010648,0.395717554,0.936123207
CCn1c(CO)nn(-c2cc3c(C(C)=C)cn(-c4cccc(-c5c(F)cccc5F)c4Cl)c(=O)c3cc2F)c1=O,0.289151353,3.26594883,0.327642191,0.927182714
CCn1c(CO)nn(-c2ccc3c(=O)n(-c4ccccc4CC4CCN(C(=O)C(C)C)CC4)cc(C(C)=C)c3c2)c1=O,0.34059907,3.169628771,0.274536762,0.907896649
CCn1c(CO)nn(-c2ccc3c(=O)n(-c4cccc(C5CCN(C(=O)C(C)C)CC5)c4)cc(C(C)=C)c3c2)c1=O,0.367499359,3.127426794,0.279155771,0.907443258
CCn1c(CO)nn(-c2ccc3c(=O)n(-c4ccccc4CCC4CCN(C(=O)C(C)C)CC4)cc(C(C)=C)c3c2)c1=O,0.307555687,3.185899622,0.280413154,0.907259083
CCn1c(CO)nn(-c2ccc3c(=O)n(-c4c(Cl)cccc4CC4CCC(C(F)(F)F)CC4)cc(C4CC4)c3c2)c1=O,0.270205585,3.329593268,0.549462453,0.901064548
CCn1c(CO)nn(-c2ccc3c(=O)n(-c4ccccc4Cc4ccc(C(C)(C)C)cc4)cc(C(C)=C)c3c2)c1=O,0.279924729,3.021166066,0.224897174,0.898663492
CCn1c(CO)nn(-c2cc3c(C(C)=C)cn(-c4cccc(-c5cccc(C#N)c5)c4Cl)c(=O)c3cc2F)c1=O,0.3093169,3.251136257,0.33049085,0.894386582
CCn1c(CO)nn(-c2cc3c(C(C)=C)cn(-c4cccc(OCCc5ccc(Cl)cc5)c4Cl)c(=O)c3cc2F)c1=O,0.223163739,3.161883209,0.31332707,0.89437232
CCn1c(CO)nn(-c2ccc3c(=O)n(N4CCN(C(=O)C5CCCC5)CC4)cc(C(C)=C)c3c2)c1=O,0.547287589,3.226692211,0.247132544,0.889670231
CCCC(C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(Cl)cccc1Cc1ccccc1F,0.238551132,3.412830186,0.507412587,0.882737533
CCCC(Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cccc1Cl)c1cccc(F)c1,0.258398136,3.379762571,0.488784486,0.882454851
CCn1c(CO)nn(-c2cc3c(C(C)Cc4c(F)cccc4F)cc(-c4ccccc4C)c(=O)n3cc2F)c1=O,0.313903728,3.629064276,0.375809176,0.880944213
CCn1c(CO)nn(-c2ccc3c(=O)n(-c4ccccc4C(F)(F)C(=O)C4CCCC4)cc(C(C)=C)c3c2)c1=O,0.343204802,3.320671393,0.307505446,0.878612803
CCn1c(CO)nn(-c2cc3c(C(C)=C)cn(-c4ccccc4OC4CCC(C(F)(F)F)CC4)c(=O)c3cc2F)c1=O,0.288126291,3.349080189,0.3896844,0.878540918
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(F)ccc(OCc5ccccc5)c4Cl)c(=O)c3cc2F)c1=O,0.262260558,3.151838535,0.360381846,0.878540812
CCn1c(CO)nn(-c2nc3c(C(C)C)cn(-c4ccccc4OCc4cccc(C(C)(C)C)c4)c(=O)c3cc2F)c1=O,0.262158862,3.183395369,0.245265423,0.878301409
CCn1c(CO)nn(-c2cc3c(C(C)=C)cn(-c4c(F)ccc(C5(c6cccc(Cl)c6)CC5)c4Cl)c(=O)c3cc2F)c1=O,0.223151485,3.540482569,0.347839523,0.875615113
CCCC(C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(Cl)cccc1Cc1ccc(F)cc1,0.238551132,3.376130717,0.504445509,0.875063702
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4cc(-c5cccc(C#N)c5)ccc4C)c(=O)c3cc2F)c1=O,0.32963529,3.092604033,0.359083937,0.873645408
CCn1c(CO)nn(-c2ccc3c(=O)n(-c4ccccc4C(F)(F)CC4CCN(C(=O)C(C)C)CC4)cc(C(C)=C)c3c2)c1=O,0.275527061,3.43408916,0.289174199,0.873076512
CC(Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccccc1C)C(F)(F)c1ccccc1C(F)(F)F,0.239895116,3.547330114,0.467089695,0.8712488
CCn1c(CO)nn(-c2ccc3c(=O)n(-c4ccccc4Cl)nc(C(C)C4CCC(C(F)(F)F)CC4)c3c2)c1=O,0.333451253,3.639754505,0.304604923,0.869908977
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4cc(Oc5cccc(C)c5)ccc4F)c(=O)c3cc2F)c1=O,0.297159686,3.051574511,0.35683683,0.866690397
CC(Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccccc1C)c1cccc(F)c1,0.384113674,3.128392323,0.437933703,0.865909005
CCn1c(CO)nn(-c2cc3c(C(C)=C)cn(-c4ccc(F)cc4C(=O)C4CCCC4)c(=O)c3cc2F)c1=O,0.351358075,3.231153776,0.529163522,0.865587442
CCCC(C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(Cl)cccc1Cc1cccc(C(F)(F)F)c1,0.193352197,3.513367213,0.496119151,0.863180167
Cc1ccccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(c1cccc(F)c1)C(F)(F)F,0.299548955,3.340658849,0.454536564,0.862514275
