smiles,qed,sas,ror_score,dhodh_score,logP,weight
CC(=O)N1CCC(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.187029216,3.902470834,-8.2,-7.5,6.8006,750.1809971
O=C(O)C1CCC(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.180452555,3.932365577,-7.9,-3.9,7.4331,751.1650127
Cc1cccc(Cl)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C(F)(F)F,0.485114787,3.330645499,-10.1,-9.7,5.05312,512.1238311
CCn1c(Cc2ccc(C(F)(F)F)cc2)c(Cl)c2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)nc21,0.244114698,3.496955438,-8.5,-10,6.9903,558.1201014
CCS(=O)(=O)c1ccc2c(c1)CN(C(C)=O)C2C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,0.56364549,3.324445767,-10.2,-10.3,3.8343,538.0997121
CC(Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F,0.490172509,3.382199345,-10,-9.8,4.8838,516.0987592
O=C(O)C1CCC(C(=O)N2CCC(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.348096589,3.567125548,-8.5,-5.8,4.9304,625.1369061
CC(=O)N1CCC(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.187029216,3.902470834,-9.4,-5.8,6.8006,750.1809971
O=C(O)C1CCC(C(=O)NC2CC(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.295185231,3.106092296,-10.4,-12.2,4.9767,625.1369061
OC(c1ccc(Cl)cc1)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(Cl)c(OCC3CC3)c(Cl)c2c1,0.248864712,3.351414796,-9.5,-9.8,7.6818,552.0385955
Cc1cccc(Cl)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C(F)(F)F,0.485114787,3.330645499,-10.4,-10.6,5.05312,512.1238311
Cc1c(NC(=O)c2cccc(C#N)c2)cnc2c1c(C1CCN(C(=O)C3CCC(C(=O)O)CC3)CC1)cn2C,0.498960863,2.894450839,-7.6,-5.8,4.6027,527.2532545
CC(=O)N1CCC(C(=O)NC2CCC(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.351937302,3.805927513,-9.9,-6.3,4.7343,638.1685406
CC(=O)N1CCCC(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.179320794,4.168205219,-7.9,-4.4,7.1907,764.1966471
CC(=O)NCC1CN(S(=O)(=O)c2ccc(F)cc2)c2cc(NC(=O)OC(C)(C)CC(F)(F)F)ccc2O1,0.502711605,3.294918169,-7.1,-9.5,4.1976,547.1400194
O=C(O)C1CCC(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.180452555,3.932365577,-7.8,-4.3,7.4331,751.1650127
CC(C)(O)CNC(=O)c1nc(C(=O)N2CCC(F)CC2)c(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)s1,0.451586693,3.182430712,-9.3,-11,4.1971,571.1375748
CC(=O)NCC1CN(S(=O)(=O)c2ccc(F)cc2)c2cc(NC(=O)OC(C)(C)CC(F)(F)F)ccc2O1,0.502711605,3.294918169,-8.6,-9.1,4.1976,547.1400194
Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C(F)(F)F,0.52657876,3.384336845,-10,-10.1,4.53882,496.1533816
O=C(O)C1CCC(C(=O)N2CCC(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.348096589,3.567125548,-8.3,-6.1,4.9304,625.1369061
O=C(O)C1CCC(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.180452555,3.932365577,-7.9,-5.1,7.4331,751.1650127
CS(=O)(=O)Nc1ccc(-c2cncc(C34CCC(CC3)c3cc(-c5c(F)cccc5F)nnc34)n2)cn1,0.409373235,4.026835808,-9.1,-6.5,4.6026,520.1493014
O=C(O)C1CCC(C(=O)NC2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.160771378,4.207527321,-8.9,-7.6,7.8695,765.1806627
