smiles,qed,sas,ror_gamma_docking,dhodh_docking,weight,logP
O=C(NC1CCC(c2ccc(C(F)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1)C1(CO)CC1,0.344809496,3.993963235,-8.4,-7.2,585.513,5.2255
Cc1cccnc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C(F)(F)F,0.562607131,3.378020497,-8.5,-10.6,479.434,3.79472
CCN(CC12CCC(c3cc(-c4c(F)cccc4F)nnc31)C2(C)C)C(=O)c1ccc(NS(C)(=O)=O)cc1,0.449705344,4.539936804,-9.2,-6.7,540.636,5.1106
COc1ccc(S(=O)(=O)C2(c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)CCN(C(=O)C3CCC(C(=O)O)CC3)C2)cc1,0.386101894,3.595653542,-8.7,-6.5,639.586,5.7771
CC1(C)C2CCC1(c1ccnc(Nc3cnn(CC(O)CO)c3)n1)c1nnc(-c3c(F)cccc3F)cc12,0.337929295,5.088318974,-9.4,-8.4,519.556,3.7084
CCc1c(C(=O)O)n(C(=O)c2c(Cl)cccc2Cl)c2ccc(C(F)(F)F)cc12,0.561746721,2.619128775,-7.3,-11.7,430.209,5.916
Cc1cc(-c2nc(C(=O)O)c3ccc(C(F)(F)F)cc3n2)cc(C)c1CC1CC1,0.620719071,2.606754503,-8.6,-11.6,400.4,5.58314
Cc1ccc(Nc2ccc(-c3ccc(F)cc3F)nc2)c(C(=O)O)c1,0.717568402,2.072902665,-8.6,-11.4,340.329,4.77702
O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3Cl)c3cccc(F)c32)cc1,0.405530168,2.33415552,-8.4,-11.9,428.246,6.0056
CCC(=O)C(C#N)C(=O)Nc1ccc(-c2ccc3c(c2)OCO3)c(C(=O)O)c1,0.738023469,2.893874521,-7.6,-11.7,380.356,2.83788
O=C(NC1CC1CO)C1CC(c2ccc(C(F)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,0.373383021,3.927889083,-8.3,-9.6,571.486,4.6913
