smiles,qed,sas,ror_score,dhodh_score,logP,weight
Oc1cncc(I)c1,0.671195135,2.868692246,-4.7,-5.6,1.3918,220.9337617
Oc1cccc(F)c1I,0.686179392,2.369472238,-4.9,-5.3,2.1359,237.929091
Oc1ccc(I)c(O)c1,0.672774316,2.325903007,-4.9,-5.5,1.7024,235.9334274
Oc1ccc(I)c(I)c1,0.716577578,2.748695315,-4.5,-5.4,2.6014,345.8351607
Oc1ccc(I)c(F)c1,0.686179392,2.28860493,-4.6,-5.5,2.1359,237.929091
Oc1ccc(F)c(I)c1,0.686179392,2.327039546,-4.8,-5.6,2.1359,237.929091
Oc1c(F)cccc1I,0.686179392,2.23310493,-4.3,-5.5,2.1359,237.929091
OCc1ccc(I)s1,0.742409625,2.976553785,-5,-5.9,1.845,239.9105838
OCc1ccc(I)o1,0.730597138,2.688755183,-4.3,-5,1.3765,223.9334274
OCC(c1ccsc1)N1CC1,0.684719771,2.789625988,-4.5,-5.1,1.0971,169.056135
O=c1cccc(O)c(I)n1,0.690057501,2.922228341,-4.3,-5.1,0.752,248.9286764
O=c1ccc(O)cc(I)n1,0.690057501,2.882710392,-4.1,-5.1,0.752,248.9286764
O=c1ccc(I)cc(O)n1,0.690057501,2.870643726,-4.6,-5.4,0.752,248.9286764
O=c1[nH]cc(I)cc1F,0.675765765,2.972558776,-4.8,-5.7,1.1186,238.9243399
O=Cc1scc(C(=O)O)c1F,0.689177718,2.998205641,-5.1,-5.6,1.3979,173.9786932
O=C(O)c1sccc1OF,0.719524499,2.887356546,-4.6,-5.3,1.7096,161.9786932
O=C(O)c1sccc1I,0.778519933,2.711714546,-4.4,-5.4,2.0509,253.8898483
O=C(O)c1sccc1CO,0.672974011,2.330895008,-4.9,-5.8,0.9386,158.0037651
O=C(O)c1scc(F)c1F,0.685714978,2.850236822,-4.2,-5.1,1.7245,163.9743567
O=C(O)c1sc(F)cc1F,0.685714978,2.959818479,-4.5,-5.2,1.7245,163.9743567
O=C(O)c1occc1I,0.755303694,2.992987623,-4.1,-5.1,1.5824,237.912692
O=C(O)c1nccc(I)c1F,0.784679744,2.698364793,-3.9,-4.9,1.5235,266.9192546
O=C(O)c1nccc(F)c1I,0.784679744,2.701749938,-5.1,-5.8,1.5235,266.9192546
O=C(O)c1ncc(I)cc1F,0.784679744,2.584138798,-4.6,-5.6,1.5235,266.9192546
O=C(O)c1ncc(F)cc1I,0.784679744,2.57712023,-4.6,-5.5,1.5235,266.9192546
O=C(O)c1cscc1I,0.778519933,2.889349161,-4.5,-5.3,2.0509,253.8898483
O=C(O)c1cscc1CO,0.672974011,2.676741162,-4.5,-5.5,0.9386,158.0037651
O=C(O)c1cscc1CF,0.717106796,2.902095008,-4.5,-5.5,1.9158,159.9994286
O=C(O)c1csc(I)n1,0.772347606,2.9443357,-4.6,-5.4,1.4459,254.8850973
O=C(O)c1csc(I)c1,0.778519933,2.847545315,-4.6,-5.6,2.0509,253.8898483
O=C(O)c1csc(F)c1F,0.685714978,2.961368183,-4.3,-5.3,1.7245,163.9743567
O=C(O)c1csc(CO)c1F,0.70836885,2.868987604,-4.1,-4.9,1.0777,175.9943432
O=C(O)c1csc(CO)c1,0.672974011,2.404289879,-4.4,-5.2,0.9386,158.0037651
O=C(O)c1csc(CF)n1,0.710972939,2.701905264,-5.2,-5.6,1.3108,160.9946776
O=C(O)c1csc(=O)cc1F,0.689008757,2.846055509,-4.5,-5.2,0.9456,173.9786932
O=C(O)c1coc(CF)c1,0.682818267,2.812920649,-4.1,-5,1.4473,144.0222722
O=C(O)c1cncc(I)c1F,0.784679744,2.742958957,-5,-6,1.5235,266.9192546
O=C(O)c1cncc(F)c1I,0.784679744,2.757024739,-5,-5.6,1.5235,266.9192546
O=C(O)c1cnc(CF)s1,0.710972939,2.928530905,-5,-5.9,1.3108,160.9946776
O=C(O)c1ccsc1I,0.778519933,2.733781853,-4.9,-5.4,2.0509,253.8898483
O=C(O)c1ccsc1CO,0.672974011,2.415443726,-5.2,-5.9,0.9386,158.0037651
O=C(O)c1ccsc1CF,0.717106796,2.756941162,-5,-5.5,1.9158,159.9994286
O=C(O)c1ccsc(=O)c1F,0.689008757,2.684752591,-4.8,-5.6,0.9456,173.9786932
O=C(O)c1ccoc1I,0.755303694,2.863589546,-4.4,-5.2,1.5824,237.912692
O=C(O)c1ccoc1CF,0.682818267,2.68305911,-4.7,-5.5,1.4473,144.0222722
O=C(O)c1cccn1CF,0.673394322,2.817366803,-4.3,-5.3,1.1133,143.0382567
O=C(O)c1cccc(I)c1F,0.790384095,2.141988135,-4.5,-5.5,2.1285,265.9240056
O=C(O)c1cccc(F)c1F,0.674349764,1.678395031,-4.2,-5.2,1.663,158.0179358
O=C(O)c1ccc(I)s1,0.778519933,2.677964546,-4.2,-5,2.0509,253.8898483
O=C(O)c1ccc(I)o1,0.755303694,2.5064107,-4.5,-5.3,1.5824,237.912692
O=C(O)c1ccc(F)sc1=S,0.690320163,2.93517222,-5.1,-6,2.31489,189.9558496
O=C(O)c1ccc(F)cc1I,0.790384095,2.00904596,-4.5,-5.3,2.1285,265.9240056
O=C(O)c1ccc(F)cc1F,0.674349764,1.593694766,-4.2,-4.8,1.663,158.0179358
O=C(O)c1ccc(CO)s1,0.672974011,2.24545911,-4.3,-5.3,0.9386,158.0037651
O=C(O)c1cc(I)ccc1F,0.790384095,1.922984952,-5,-6,2.1285,265.9240056
O=C(O)c1cc(I)c[nH]1,0.723325026,2.961493392,-5.3,-5.7,1.3175,236.9286764
O=C(O)c1cc(F)csc1=S,0.690320163,2.97209848,-4.5,-5.3,2.31489,189.9558496
O=C(O)c1cc(F)ccc1F,0.674349764,1.582044899,-4.4,-5.1,1.663,158.0179358
O=C(O)c1cc(CS)cs1,0.671591317,2.801510392,-4.9,-5.3,1.8761,173.9809214
O=C(O)c1cc(CO)cs1,0.672974011,2.324500136,-5,-5.7,0.9386,158.0037651
O=C(O)c1cc(CF)cs1,0.717106796,2.661992444,-4.9,-5.5,1.9158,159.9994286
O=C(O)c1cc(CF)co1,0.682818267,2.958587315,-4.8,-5.9,1.4473,144.0222722
O=C(O)c1[nH]ncc1I,0.70782299,2.944987623,-5.1,-5.9,0.7125,237.9239253
O=C(O)NCc1occc1F,0.68067819,2.887023413,-4.9,-5.7,1.1863,159.0331713
O=C(O)NCc1ccc(F)s1,0.717617469,2.596637259,-5.8,-6.5,1.6548,175.0103277
O=C(O)NCc1ccc(F)o1,0.68067819,2.740974182,-4.9,-6,1.1863,159.0331713
O=C(O)NCc1cc(F)co1,0.68067819,2.917817259,-5,-5.8,1.1863,159.0331713
O=C(O)Cc1scnc1F,0.700884433,2.906018085,-5.3,-5.9,0.9093,160.9946776
O=C(O)Cc1sccc1F,0.711624219,2.595664238,-5,-5.4,1.5143,159.9994286
O=C(O)Cc1occc1F,0.674282962,2.784177059,-5.1,-5.8,1.0458,144.0222722
O=C(O)Cc1ncc(F)s1,0.700884433,2.908192444,-5,-6.1,0.9093,160.9946776
O=C(O)Cc1nc(F)cs1,0.700884433,2.925007828,-4.1,-5.1,0.9093,160.9946776
O=C(O)Cc1cscc1F,0.711624219,2.867905264,-5.2,-6,1.5143,159.9994286
O=C(O)Cc1csc(F)n1,0.700884433,2.798510392,-4.5,-4.8,0.9093,160.9946776
O=C(O)Cc1csc(F)c1,0.711624219,2.750818085,-5,-5.4,1.5143,159.9994286
O=C(O)Cc1coc(F)c1,0.674282962,2.935130905,-4.9,-5.8,1.0458,144.0222722
O=C(O)Cc1cnc(F)s1,0.700884433,2.922064238,-5,-5.6,0.9093,160.9946776
O=C(O)Cc1ccsc1F,0.711624219,2.702536033,-4.5,-5.3,1.5143,159.9994286
O=C(O)Cc1ccoc1F,0.674282962,2.858330905,-4.9,-5.5,1.0458,144.0222722
O=C(O)Cc1ccc(F)s1,0.711624219,2.585243726,-4.5,-5.5,1.5143,159.9994286
O=C(O)Cc1ccc(F)o1,0.674282962,2.867725777,-5.6,-5.9,1.0458,144.0222722
O=C(O)Cc1cc(F)cs1,0.711624219,2.715495008,-4.7,-5.7,1.5143,159.9994286
O=C(O)CCc1cc(F)on1,0.708961384,2.895164952,-5.5,-6,0.8309,159.0331713
NS(=O)(=O)c1sccc1F,0.686760225,2.883206645,-4.5,-5.4,0.5346,180.9667486
NS(=O)(=O)c1csc(F)c1,0.686760225,2.919771142,-5,-5.7,0.5346,180.9667486
NS(=O)(=O)c1ccsc1F,0.686760225,2.847861674,-4.8,-5.8,0.5346,180.9667486
NS(=O)(=O)c1ccc(F)s1,0.686760225,2.730515521,-4.3,-4.9,0.5346,180.9667486
NS(=O)(=O)c1cc(F)cs1,0.686760225,2.80028416,-4.8,-5.8,0.5346,180.9667486
NCc1cscc1C(=O)O,0.670136892,2.721053982,-5.4,-6.2,0.905,157.0197495
NCc1csc(C(=O)O)c1,0.670136892,2.382269367,-4.9,-5.5,0.905,157.0197495
NC(=O)c1ccc(I)cc1F,0.7685994,2.070895297,-5.5,-6.4,1.5292,264.93999
NC(=O)Cc1sccc1F,0.684521916,2.714997572,-4.7,-5.4,0.915,159.015413
NC(=O)Cc1csc(F)n1,0.676487745,2.924823213,-4.3,-5.3,0.31,160.010662
NC(=O)Cc1csc(F)c1,0.684521916,2.889192444,-5.3,-5.9,0.915,159.015413
NC(=O)Cc1ccsc1F,0.684521916,2.83634629,-4.6,-6,0.915,159.015413
NC(=O)Cc1ccc(F)s1,0.684521916,2.746125777,-4.2,-5.4,0.915,159.015413
NC(=O)Cc1cc(F)cs1,0.684521916,2.876377059,-5.1,-6.3,0.915,159.015413
Cn1ncc(C(=O)O)c1I,0.749097549,2.854182976,-4.9,-5.7,0.7229,251.9395754
Cc1snc(C(=O)O)c1F,0.674684434,2.994982384,-5.2,-6.1,1.28882,160.9946776
Cc1scc(F)c1C(=O)O,0.680723253,2.739941556,-5.4,-5.6,1.89382,159.9994286
Cc1scc(C(=O)O)c1I,0.793701232,2.877220846,-4.3,-5.2,2.35932,267.9054984
Cc1scc(C(=O)O)c1F,0.680723253,2.686841556,-5,-5.4,1.89382,159.9994286
Cc1scc(C(=O)O)c1C,0.675355822,2.387769958,-4.2,-5.1,2.06314,156.0245005
Cc1scc(C(=O)CO)c1F,0.687395398,2.981824209,-4.4,-5.7,1.37062,174.0150787
