smiles,qed,sas,weight,logP,ror,dhodh
c12C(c3c(-n4nc(n(CC)c4=O)C)ccc(c3)C3CC3)N(Cc1cccc2)C(C)=O,0.668702632,3.194957323,402.498,3.69122,-7.4,-6.9
c1(n(c(C(NCc2ccc(c(c2)F)F)=O)nn1C1CCN(C(C2(Cc3cccc4CCc5ccccc5-c34)CC2)=O)CC1)C)=O,0.327114376,3.256693793,611.693,4.742,-8.9,-7.2
[n+]1(CC2CC[N+](C)(CC2)C)ccc(C(Nc2c(cccc2)-n2c(n(C)c(n2)C)=O)=O)cc1,0.490560409,3.262026358,436.56,1.90562,-10.5,-10.1
C1(c2ccc(CNC(=O)c3cc[n+](CC4CCCC4)cc3)cc2)CC[N+](C)(C)CC1,0.568756223,2.927733449,407.602,4.0481,-10.1,-11.3
c12c(C(Nc3n(C)c(n(-c4n(c(n(n4)C4CC4)=O)C)n3)=O)=O)cccc2ccc(c1)NC(C)=O,0.456598411,3.057866199,462.47,1.165,-10.7,-11.3
c1cc(-n2nc(C3CCCN3CCF)n(c2=O)CC(=O)Nc2c(cccc2)F)ccc1Cl,0.583569299,3.067313165,461.9,3.5716,-9.9,-11.1
C1[N+](C)(Cc2ccc(cc2)C(=O)Nc2nn(C)c(n2C)=O)CCC(c2ccccc2)C1,0.645578003,2.844771361,420.537,2.8953,-9.9,-10.9
[n+]1(CC2CC[N+](CC2)(C)C)ccc(C(=O)Nc2cccc(c2)-n2nc3n(CCC3)c2=O)cc1,0.479439173,3.277146632,448.571,2.0064,-11.5,-11.9
Fc1ccc(-n2nc(n(c2=O)CC)S(C)(=O)=O)c(NC(c2ccccc2C2CC2)=O)c1,0.629768676,2.639995649,444.488,2.7262,-9.6,-12.8
c1c(c(-n2c(nn(-c3c(F)cc(C4CCN(C)CC4)cc3)c2=O)C(Nc2ccc(cc2)C(C)(C)C)=O)c(cc1)O)CC,0.305760118,2.980761315,571.697,5.7893,-10,-7.8
c1c(CC2CC[N+](C)(C)CC2)ccc(c1)NC(=O)c1ccccc1-n1nc2CCCn2c1=O,0.611927566,2.868645742,446.575,3.2614,-9.6,-10.7
c1c2C(C3CC3)OCCn2c(=O)n1-c1c(F)cc(C(=O)O)c(NC(C2CCCCC2)=O)c1C,0.711367835,3.588486758,457.502,3.78482,-10,-8.2
OCc1ccc(NC(CC2c3ccccc3CCC=2n2c(=O)n(C)nc2C2CCC2)=O)cc1,0.606972147,2.772018132,444.535,3.6849,-8.6,-9
[n+]1(c(NC(C2CCc3ccccc3CC2)=O)cc(cc1)Cn1nc2CCCCn2c1=O)C,0.508285323,2.982821792,432.548,2.3876,-11.3,-11.2
[n+]1(C2CC[N+](C)(CC2)C)ccc(cc1)C(Nc1cccc(-n2nc3COCn3c2=O)c1)=O,0.496159031,3.663620104,436.516,1.4728,-11,-11
