SMILES,Title,5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh,best_3d_sim_rorgt,best_2d_sim_rorgt,best_3d_2d_sim_rorgt,best_3d_match_rorgt,best_2d_match_rorgt,best_3d_2d_match_rorgt,best_3d_sim_dhodh,best_2d_sim_dhodh,best_3d_2d_sim_dhodh,best_3d_match_dhodh,best_2d_match_dhodh,best_3d_2d_match_dhodh
c1(Cl)ccc(Cl)c(-c2ccc(C(Nc3ccc(C(F)(F)F)cc3)=O)c3c2C(=O)N(C)C3=O)c1,sampled_0,-10.6025647935194,-11.5542326722985,493.26800000000026,6.157300000000005,2.4659625838596586,0.44502762952061775,66.48,3,1,3,True,351225,0.6265938069216758,993092,0.6831504040525871,0.2093023255813953,0.1477272727272727,0.6265938069216758,0.3142857142857143,0.15379293786848972,351225,50396847,558611,0.6831504040525871,0.4166666666666667,0.20411886922384212,993092,51406361,1020427
FC(F)(F)c1cccc(-c2ccc(C(C(F)(F)F)(C(F)(F)F)O)cc2)c1,sampled_1,-10.4305730681259,-9.8426823050526,388.229,5.684600000000003,2.312140122947824,0.6562482959465855,20.23,1,1,2,False,51085916,0.5407509157509158,220009,0.5436302433972036,0.32,0.1343283582089552,0.5407509157509158,0.36538461538461536,0.17462668147599653,51085916,50489171,51085908,0.5436302433972036,0.3125,0.11842468696292657,220009,51282849,51282849
c1(-c2c(F)cccc2)ccc(C(C(F)(F)F)(C(F)(F)F)O)cc1,sampled_2,-10.1866750940493,-9.11506215115434,338.2219999999999,4.804900000000002,2.1801705422046034,0.7797491569682384,20.23,1,1,2,False,51085918,0.5131968585039268,220009,0.528958051420839,0.3617021276595745,0.0869565217391304,0.5131968585039268,0.4423076923076923,0.18562439562907992,51085918,51285870,51085918,0.528958051420839,0.35185185185185186,0.14651704967591525,220009,51370189,51370189
c1cc(NC(c2c(Cl)cccc2)=O)cc(C(F)(F)F)c1C(F)(F)F,sampled_3,-9.93531184453817,-9.05976973282514,367.676,5.629900000000002,2.0117044386054026,0.6847250507852131,29.1,1,1,2,True,50382180,0.5332799634034766,CHEMBL3892598,0.5866952789699571,0.2337662337662337,0.1111111111111111,0.5332799634034766,0.45098039215686275,0.15512259334967196,50382180,51379175,51379172,0.5866952789699571,0.35294117647058826,0.1815982542837518,CHEMBL3892598,51406361,50251729
N(c1ccc(-c2cccc(C(F)(F)F)c2)cc1)C(Nc1ccc(C(F)(F)F)cc1)=O,sampled_4,-11.1537706081701,-9.90514607320647,424.344,7.035200000000003,1.955120371941156,0.43541576831157824,41.129999999999995,1,2,3,True,50092328,0.56455349620893,50107530,0.5975361663652803,0.1212121212121212,0.2054794520547945,0.56455349620893,0.36507936507936506,0.17003176615499865,50092328,50492390,51285893,0.5975361663652803,0.3958333333333333,0.14940370003869188,50107530,306827,50251724
c1cc(Cl)c(C(=O)Nc2ccc(C(F)(F)F)cc2)c(Cl)c1,sampled_5,-9.74844747457726,-8.2831558170105,334.124,5.264500000000002,1.7692104220516018,0.7969485746601017,29.1,1,1,2,True,51379177,0.5717673095162821,50319887,0.658402636121136,0.2321428571428571,0.28,0.5717673095162821,0.3559322033898305,0.13273169685199407,51379177,51253545,51379177,0.658402636121136,0.45652173913043476,0.26891945685346547,50319887,51406361,CHEMBL70544
c1(-c2c(F)cc(F)cc2F)ccc(C(C(F)(F)F)(C(F)(F)F)O)cc1,sampled_6,-9.87145351502807,-9.89659872122107,374.202,5.0831000000000035,2.457173603040548,0.7270378630599426,20.23,1,1,2,False,CHEMBL3907312,0.6101028049244828,CHEMBL2263626,0.5677883949591469,0.3461538461538461,0.1451612903225806,0.6101028049244828,0.42105263157894735,0.21533040173805276,CHEMBL3907312,1137227,CHEMBL3907312,0.5677883949591469,0.2641509433962264,0.1163800892863119,CHEMBL2263626,51338201,51338201
c1c(Cl)c(-c2c(C(O)=O)c(Cl)ccc2)ccc1,sampled_7,-5.35969459288676,-7.70533936458118,267.111,4.358600000000003,1.7581058617096232,0.8772478689475431,37.3,1,1,2,True,51139441,0.445418552036199,51282827,0.5314398292562797,0.3333333333333333,0.3170731707317073,0.44541855203619907,0.3695652173913043,0.15184723364870423,51139441,51253458,51139441,0.5314398292562797,0.391304347826087,0.1769063823375724,51282827,50565529,52794
c1cc(-c2ccc(NC(=O)Cc3c(C(F)(F)F)cccc3)cc2)ccc1,sampled_8,-11.5733724491244,-9.83730312709804,355.359,5.553600000000004,1.7565860383202097,0.6527496274099638,29.1,1,1,4,True,50082585,0.5132638559924206,297777,0.5708131394722671,0.1690140845070422,0.2363636363636363,0.5132638559924206,0.5,0.19195917165849177,50082585,CHEMBL4172665,50396843,0.5708131394722671,0.3958333333333333,0.14001077005923532,297777,52785,297777
c1(-c2ccc(Cl)c(C(=O)O)c2)ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1,sampled_9,-9.96205393504717,-9.14720272709896,419.7860000000001,5.976300000000003,1.9065437676750712,0.5466366126288984,66.4,2,2,4,True,51122315,0.5765985790408525,50251719,0.6106641047195869,0.2025316455696202,0.24,0.5765985790408525,0.375,0.1368799113901651,51122315,51379168,50492390,0.6106641047195869,0.3939393939393939,0.19261669413884994,50251719,219977,50251713
c1(-c2c(C)cc(F)cc2)ccc(C(C(F)(F)F)(O)C(F)(F)F)cc1,sampled_10,-10.1464100242413,-9.54863753443814,352.24899999999997,5.1133200000000025,2.2821866501438652,0.744674015947074,20.23,1,1,2,False,CHEMBL3917365,0.5976937860345932,CHEMBL2263626,0.5530093870789619,0.2807017543859649,0.2096774193548387,0.5976937860345932,0.5098039215686274,0.24750163370045108,CHEMBL3917365,50265715,1137242,0.5530093870789619,0.3050847457627119,0.13338333717978304,CHEMBL2263626,51370189,51370190
