smiles,qed,sas,ror_score,dhodh_score,logP,weight
O=C1NC2(CCCN(Cc3ccccc3)C2)C(=O)N1C(=O)NS(=O)(=O)c1cccc(C2CCNCC2)c1,0.510495573,3.808314843,-11.7,-12.1,2.1385,525.2045901
O=C1NC(=O)C2(CCCN(Cc3ccccc3)C2)N1C(=O)NS(=O)(=O)c1cccc(C2CCNCC2)c1,0.510495573,3.796590024,-11.3,-10.5,2.1385,525.2045901
O=C(NS(=O)(=O)c1cccc(C2CCNCC2)c1)C(=O)N1C(=O)NC2(CCCN(Cc3ccccc3)C2)C1=O,0.368450645,3.920804408,-10.7,-7.1,1.0717,553.1995047
O=C(NS(=O)(=O)c1cccc(C2CCNCC2)c1)C(=O)N1C(=O)NC(=O)C12CCCN(Cc1ccccc1)C2,0.368450645,3.92425971,-10,-7.3,1.0717,553.1995047
COC(=O)CC1NCCN(C(=O)NS(=O)(=O)N2CCN(C3CC3)CC2)C1=O,0.508827131,3.365088908,-8.2,-9,-1.9157,403.1525545
O=S(=O)(NC1(F)CNCC(F)(F)C1(F)F)N1CCCNCC1,0.479873347,4.1796512,-8.3,-9.1,-0.3443,352.0992379
O=C(NS(=O)(=O)N1CCCNCC1)C(=O)N1CC(F)(F)C(F)(F)C(F)(F)C1,0.453693746,3.62742282,-10,-9.9,-0.6092,426.0796453
CC(C#N)OC(=O)[C@@](C)(O)C(F)(F)F,0.684104194,3.762358884,-6.1,-7.1,0.75498,211.0456278
Nc1ccccc1N(C(=O)Nc1ccc(Cc2ccc3c(c2)CCN3)cc1)S(=O)(=O)c1ccccc1,0.314871203,2.575807849,-10.7,-11.8,5.255,498.1725617
Nc1ccc(Cc2ccc3c(c2)CCN3C(=O)Nc2ccccc2NS(=O)(=O)c2ccccc2)cc1,0.315673605,2.32508063,-11.2,-7.3,5.255,498.1725617
C#C[C@@H]1CN(C(=O)Nc2ccc(S(=O)(=O)N3CCCCCC3)cc2)C[C@H]1O,0.767842157,3.218577456,-9.7,-11.1,1.7091,391.1565773
C#C[C@@H]1CN(C(=O)C(=O)Nc2ccc(S(=O)(=O)N3CCCCCC3)cc2)C[C@H]1O,0.552437951,3.341415719,-10.1,-11.1,0.6423,419.1514919
O=C1CCN(S(=O)(=O)NC(=O)NC2CCCN(S(=O)(=O)N3CCOCC3)C2)CC1,0.501271306,3.256043206,-9.4,-8.3,-1.7633,453.1351902
O=C1CCN(S(=O)(=O)NC(=O)C(=O)NC2CCCN(S(=O)(=O)N3CCOCC3)C2)CC1,0.397071257,3.356951497,-8.7,-8.5,-2.8301,481.1301048
NS(=O)(=O)c1ccc(C(F)(F)C(F)(F)N2CCN(S(=O)(=O)c3ccc4c(c3)CCC4)CC2)cc1,0.465236149,2.776497718,-11.1,-9.3,2.5138,521.1066111
O=C(NS(=O)(=O)c1ccc(C(F)(F)C(F)(F)F)cc1)C(=O)N1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)CC1,0.418093272,2.809698769,-11.2,-11.1,2.1674,595.0870185
CCCC(=CC(=O)N1C[C@@H](C)N(C(C)C)[C@@H](C)C1)CCC,0.694858554,3.713571127,-6.7,-8.5,3.8426,294.2671137
C[C@@H]1NCCCN(C(=O)NS(=O)(=O)c2cccc(C3(C)NC(=O)NC3=O)c2)C1=O,0.471159615,3.649246834,-9.8,-10.7,-0.6501,423.1212544
C[C@@H]1NCCCN(C(=O)C(=O)NS(=O)(=O)c2cccc(C3(C)NC(=O)NC3=O)c2)C1=O,0.310547455,3.799521045,-10,-10.5,-1.7169,451.116169
O=C(c1ccc(N2CCCc3ccccc32)cc1)N1CC(NS(=O)(=O)c2ccccc2)C1,0.649239994,2.203385154,-10.1,-11.1,3.5738,447.1616627
Cc1cccc(N2CCN(Cc3ccc(NC(=O)NCc4ccc(S(=O)(=O)N5CCOCC5)cc4)cc3)CC2)c1,0.434649459,2.301822669,-10.4,-13.6,3.65982,563.2566257
