SMILES,Title,IC50nM,5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh
CCn1c(C(=O)OC)nn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c1=O,1098849,0,-9.556902291,-11.42116052,532.397,3.8397,3.434624491,0.366496004,104.45,8,1,7,TRUE,578519,0.500042535,1098849,1,0.134453782,1
CONC(=O)c1c(C)c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc12,51370198,0.12,-10.54502033,-8.236620369,404.416,5.44662,2.279965978,0.460555622,51.22,3,1,4,TRUE,826980,0.553945565,51370198,1,0.111111111,1
Cc1ccccc1-n1cc(C(C)C)c2cc(-c3ccc(C)c(N)n3)c(F)cc2c1=O,1121364,0.18,-7.547933395,-13.7471097,401.485,5.51424,2.615443449,0.492030989,60.91,4,1,3,TRUE,795460,0.571986971,1121364,1,0.174418605,1
CCn1c(CO)nn(-c2nc(OC(C)C(F)(F)F)c3c(Oc4c(F)cccc4Cl)nncc3c2F)c1=O,51423569,0.2,-7.317265652,-13.32376909,546.84,3.9379,4.05657176,0.346506346,117.18,10,1,7,TRUE,708930,0.510454085,51423569,1,0.147826087,1
Cc1cn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)nc1C(C)O,1121395,0.22,-10.05352963,-12.94824381,489.857,4.63994,3.975288307,0.437458714,105.06,6,3,6,FALSE,CHEMBL3596632,0.56360772,1121395,1,0.184466019,1
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(F)cccc4Cl)c(=O)c3cc2F)c1=O,1226000,0.222,-7.938006813,-13.883437,474.895,3.9053,3.087481045,0.47529754,82.05,7,1,5,TRUE,795460,0.593291847,1226000,1,0.204301075,1
C=C(c1cn(-c2ccccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12)C(F)(F)F,1226070,0.226,-8.115696506,-14.14545756,488.441,3.87332,3.154670986,0.432695196,82.05,7,1,5,TRUE,795443,0.545903745,1226070,1,0.198019802,1
C=C(C)c1cn(-c2cccc(OC)c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226059,0.24,-8.329254511,-13.46662061,484.915,3.6845,3.113463971,0.450517515,91.28,8,1,6,TRUE,795460,0.540364583,1226059,1,0.158415842,1
C=C(C)c1cn(-c2cc(F)ccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226071,0.249,-8.235073226,-13.84120305,452.461,3.47002,3.059497968,0.502839447,82.05,7,1,5,TRUE,795443,0.554957334,1226071,1,0.133333333,1
CCn1c(CO)nn(-c2cc3c(C(C)C(F)(F)F)cn(-c4ccccc4C)c(=O)c3cc2F)c1=O,1226091,0.26,-7.711787157,-14.24273884,490.457,3.96362,3.552024259,0.429631102,82.05,7,1,5,TRUE,709051,0.515607786,1226091,1,0.140186916,1
C=C(C)c1cn(-c2c(F)cccc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,51360201,0.265,-8.193302478,-13.7879491,472.879,3.815,3.172011815,0.478574747,82.05,7,1,5,TRUE,795460,0.589813743,51360201,1,0.2,1
C=C(C)c1cn(-c2c(F)ccc(OC)c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,51360202,0.267,-8.523943158,-12.73967933,502.905,3.8236,3.278830176,0.432602322,91.28,8,1,6,TRUE,795460,0.547803618,51360202,1,0.123809524,1
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(F)ccc(OC)c4Cl)c(=O)c3cc2F)c1=O,1226069,0.273,-7.545703242,-13.97156313,504.921,3.9139,3.198748395,0.429661173,91.28,8,1,6,TRUE,795460,0.565834508,1226069,1,0.126213592,1
