SMILES,Title,IC50nM,5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh
CC1CCCCN1C(=O)c1nc(-c2nnc(CC(C)(C)C(=O)O)o2)sc1-c1ccc(S(=O)(=O)NC(C)C(F)(F)F)c(F)c1C(F)F,51343137,0.1,-6.36115119,-6.316464101,697.68,5.8338,4.354555895,0.248945768,155.59,9,2,10,TRUE,51343137,1,1045616,0.41129466,1,0.173913043
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)C(N)=O)nc2CC2CCCCC2)c2ccccc12,50919295,0.37,-9.401666352,-0.291983099,584.808,5.4042,3.100637082,0.309763401,131.25,6,3,9,TRUE,50919295,1,51126183,0.299781693,1,0.186813187
Cn1cc2c(n1)CCN(C(=O)C1CCc3c(-c4ccc(C(=O)O)cc4F)nn(C(=O)c4c(Cl)cccc4C4(C(F)(F)F)CC4)c3C1)C2,708998,0.5,-9.28620767,-6.006576951,670.063,5.7465,4.037893581,0.271365321,110.32,7,1,5,TRUE,708998,1,1020531,0.391053999,1,0.20610687
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(C(F)(F)F)CC3)c3c2CCC(C(=O)N2CCn4ncnc4C2)C3)c(F)c1,708999,0.5,-9.129156008,-1.7509595,657.024,5.062,4.07970123,0.29799802,123.21,8,1,5,TRUE,708999,1,51126183,0.084797169,1,0.175925926
COC1CN(C(=O)C2CCc3c(-c4ccc(C(=O)O)cc4F)nn(C(=O)c4c(Cl)cccc4C4(C(F)F)CC4)c3C2)C1,708974,0.5,-7.694028015,-4.786837637,602.009,4.9881,3.853170422,0.409565601,101.73,6,1,7,TRUE,708974,1,CHEMBL3818257,0.389859205,1,0.145631068
Cn1ncc2c1CN(C(=O)C1CCc3c(-c4ccc(C(=O)O)cc4F)nn(C(=O)c4c(Cl)cccc4C4(C(F)(F)F)CC4)c3C1)C2,708996,0.5,-9.691410783,,656.036,5.704,4.031063139,0.276267885,110.32,7,1,5,TRUE,708996,1,,,1,
CN(C(=O)C1CCc2c(-c3ccc(C(=O)O)cc3F)nn(C(=O)c3c(Cl)cccc3C3(C(F)(F)F)CC3)c2C1)c1cnn(C)c1,709001,0.6,-7.108676154,-5.957235914,644.025,5.8246,4.014377173,0.265131807,110.32,7,1,6,TRUE,709001,1,1020521,0.382549411,1,0.139705882
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(C(F)(F)F)CC3)c3c2CCC(C(=O)N2CCC4(CCCO4)C2)C3)c(F)c1,708973,0.6,-11.19870822,-6.655720764,660.064,6.2096,4.69812477,0.32710658,101.73,6,1,5,TRUE,708973,1,1020531,0.383513551,1,0.198473282
Cc1nc2c([nH]1)CN(C(=O)C1CCc3c(-c4ccc(C(=O)O)cc4F)nn(C(=O)c4c(Cl)cccc4C4(C(F)(F)F)CC4)c3C1)C2,709000,0.6,-7.176551789,,656.036,6.00202,4.115084217,0.254513519,121.18,6,2,5,TRUE,709000,1,,,1,
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(C(F)(F)F)CC3)c3c2CCC(C(=O)N2CCc4[nH]ncc4C2)C3)c(F)c1,708997,0.6,-9.672595918,-5.624187898,656.036,5.7361,4.018075028,0.264865316,121.18,6,2,5,TRUE,708997,1,1020504,0.402542965,1,0.152671756
CCS(=O)(=O)c1ccc(CC(=O)Nc2cnc(OC(C)c3ccccc3)c(Cl)c2)cc1,50990871,0.6,-10.15116313,-11.35631643,458.967,4.8498,2.728388207,0.521128293,85.36,5,1,8,TRUE,50990871,1,220006,0.492568579,1,0.204301075
COC1(C)CN(C(=O)C2CCc3c(-c4ccc(C(=O)O)cc4F)nn(C(=O)c4c(Cl)cccc4C4(C(F)F)CC4)c3C2)C1,708978,0.6,-8.819848035,-1.182381165,616.036,5.3782,4.002389912,0.383119928,101.73,6,1,7,TRUE,708978,1,51370194,0.407255417,1,0.151785714
COC1(C)CN(C(=O)C2CCc3c(-c4ccc(C(=O)O)cc4F)nn(C(=O)c4c(Cl)cccc4C4(C(F)(F)F)CC4)c3C2)C1,708975,0.6,-10.36327528,-5.415217726,634.026,5.6754,3.997199987,0.350965659,101.73,6,1,6,TRUE,708975,1,1020531,0.39982591,1,0.1875
O=C(O)c1ccc(N2C=C(C(=O)c3c(Cl)cccc3Cl)C3C=CC=C(F)C32)c(F)c1,720136,0.615,-11.05591708,-11.08171384,448.252,5.8255,3.843082888,0.598878983,57.61,3,1,4,TRUE,720136,1,50251724,0.553276476,1,0.144444444
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CCOCC3)nc2CC2CCCCC2)c2ccccc12,50917070,0.69,-7.420042294,-3.087032459,569.793,6.0717,2.988176645,0.359902287,97.39,6,2,7,TRUE,50917070,1,1020531,0.396729391,1,0.170940171
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(C(F)(F)F)CC3)c3c2CCC(C(=O)N2CC4(CCCO4)C2)C3)c(F)c1,708970,0.7,-8.848906847,,646.037,5.8195,4.447542076,0.351190535,101.73,6,1,5,TRUE,708970,1,,,1,
CN(C)C1CN(C(=O)C2CCc3c(-c4ccc(C(=O)O)cc4F)nn(C(=O)c4c(Cl)cccc4C4(C(F)(F)F)CC4)c3C2)CC1(F)F,708977,0.7,-10.10019981,-5.972917476,683.049,5.8358,4.467349888,0.328829199,95.74,6,1,6,TRUE,708977,1,1020504,0.413100679,1,0.15625
COC1CN(C(=O)C2CCc3c(-c4ccc(C(=O)O)cc4F)nn(C(=O)c4c(Cl)cccc4C4(C(F)(F)F)CC4)c3C2)CC1O,709007,0.7,-10.85557692,-6.028122313,650.025,4.6462,4.393620957,0.373179078,121.96,7,2,6,TRUE,709007,1,1020531,0.372422045,1,0.186046512
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(C(F)(F)F)CC3)c3c2CCC(C(=O)N2CCC4(COC4)C2)C3)c(F)c1,708965,0.7,-10.69898262,-3.020161916,646.037,5.677,4.436486369,0.358714089,101.73,6,1,5,TRUE,708965,1,1020504,0.235501204,1,0.1484375
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(C(F)(F)F)CC3)c3c2CCC(C(=O)N2CC4(COC4)C2)C3)c(F)c1,709012,0.7,-9.922860749,,632.01,5.2869,4.40545216,0.384430754,101.73,6,1,5,TRUE,709012,1,,,1,
CCC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CC(C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,50917503,0.71,-12.78301991,-5.751673321,597.803,6.146,3.121098859,0.257592797,125.46,6,3,10,TRUE,50917503,1,1020563,0.578798415,1,0.175
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(C(F)F)CC3)c3c2CCC(C(=O)N2CC(O)C(F)C2)C3)c(F)c1,708981,0.8,-11.59775153,-7.696586556,619.999,4.6721,4.4223333,0.387979456,112.73,6,2,6,TRUE,708981,1,297802,0.337963636,1,0.139130435
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(C(F)F)CC3)c3c2CCC(C(=O)N2CCC4(COC4)C2)C3)c(F)c1,708980,0.8,-10.09049866,-7.450050748,628.047,5.3798,4.439750596,0.393902602,101.73,6,1,6,TRUE,708980,1,1020509,0.446897064,1,0.15625
CN(C)C1CN(C(=O)C2CCc3c(-c4ccc(C(=O)O)cc4F)nn(C(=O)c4c(Cl)cccc4C4(C(F)(F)F)CC4)c3C2)CC1O,709008,0.8,-8.152617681,-3.743833427,663.068,4.5614,4.446404631,0.372072354,115.97,7,2,6,TRUE,709008,1,51126183,0.288678827,1,0.14953271
